id	utterance	context	targetValue	label
nt-1136	who were the chumps in the kitchen?	csv/204-csv/269.csv	Chantelle and Steve	LOOKUP
nt-6337	which college has the largest non-sectarian enrollment	csv/203-csv/610.csv	Cornell University	SUPER
nt-1908	in which year were the most steam locomotives built?	csv/204-csv/30.csv	1898	SUPER
nt-2734	which is the top african nation that earns the most gdp in billions?	csv/203-csv/296.csv	South Africa	SUPER
nt-3399	how many years did he play in less than 16 games?	csv/204-csv/756.csv	2	ARTH
nt-10920	what is the only location of early sawmill?	csv/204-csv/176.csv	On W. Side NYS 52 At Southern End of Youngsville	LOOKUP
nt-3411	how many finalist were in season af3?	csv/203-csv/288.csv	3	ARTH
nt-4771	what is the number of football classes lafayette high school has?	csv/204-csv/624.csv	4	LOOKUP
nt-1114	what was the first route formed in the 1960's?	csv/204-csv/178.csv	Oregon Route 18 Business	SUPER
nt-1833	which ethnicity has more followers of islam: tatar or tajik?	csv/204-csv/984.csv	Tajik	COMP
nt-3038	by how much does the macintosh cyrillic encoding differ in decimals between the small letter em and the capital letter em?	csv/202-csv/159.csv	96	ARTH
nt-9775	what is the number of live-action american superhero movies released in 1978?	csv/203-csv/79.csv	3	AGG
nt-8019	which month is the most humid?	csv/202-csv/57.csv	December	SUPER
nt-4501	who had the most number of total assists?	csv/204-csv/575.csv	Luke Summerfield	SUPER
nt-3736	what are the number of times nc appears under the comp column?	csv/204-csv/453.csv	32	AGG
nt-9209	what is the difference in attendance between the first two games in september?	csv/203-csv/598.csv	31,037	ARTH
nt-11242	how many riders earned at lease 20 points?	csv/204-csv/114.csv	2	COMP
nt-8748	what cities are served by the nîmes-alès-camargue-cévennes airport?	csv/200-csv/26.csv	Nîmes / Garons	LOOKUP
nt-6149	who is the only country to win only golds?	csv/204-csv/211.csv	Brazil	COMP
nt-7615	which is the difference between kw for allenheads and seaham	csv/204-csv/270.csv	0.057	ARTH
nt-8030	who is the only winning driver to appear once from team target racing?	csv/204-csv/63.csv	Christiano Citron	AGG
nt-4711	which single was released before "dopeman"?	csv/203-csv/661.csv	Automatic	LOOKUP
nt-1494	how many 4x 100m relays were run?	csv/203-csv/299.csv	3	AGG
nt-10857	what was the first public middle school established in hawaii?	csv/203-csv/416.csv	Washington Middle School	SUPER
nt-1822	what is russia's total number of non-gold medals?	csv/203-csv/374.csv	2	ARTH
nt-1067	did the detriot lions win before the chicago bears in 1982?	csv/204-csv/855.csv	yes	Next
nt-5923	which contest was held in the same site as the game versus western carolina?	csv/204-csv/436.csv	vs. Gardner-Webb	LOOKUP
nt-3867	how many times did camerin oppose maria sharapova in singles finals?	csv/204-csv/562.csv	1	AGG
nt-7408	which province is the only province with a higher population than malaga?	csv/203-csv/3.csv	Seville	COMP
nt-1246	what is the number of times rowell has won the naacp image award?	csv/204-csv/504.csv	10	AGG
nt-9295	what year had the least us peak chart positions?	csv/203-csv/11.csv	2009	SUPER
nt-8410	in what years between 1194-1997 did habte jifar not compete in a marathon race?	csv/203-csv/189.csv	1996	COMP
nt-12452	what driver was below jo vonlanthen in the grid?	csv/203-csv/804.csv	Jean-Pierre Jarier	Next
nt-13939	how many historic places were listed in the 1980's?	csv/203-csv/649.csv	17	AGG
nt-3735	what album is listed before 21?	csv/204-csv/949.csv	Chillaa	Next
nt-6066	who was the tallest fullback?	csv/204-csv/170.csv	Cedric C. Smith	SUPER
nt-9136	which surname is listed above the duke of albuquerque?	csv/203-csv/172.csv	Lorena	Next
nt-7608	how many total points were scored during the inaugural maggie dixon classic by all 4 teams?	csv/203-csv/177.csv	271	AGG
nt-12266	after pick #123 paul ames being picked for defense, what was the next united states defense pick named?	csv/203-csv/824.csv	Craig Mack	Next
nt-12542	how many stadiums are located in belfast?	csv/203-csv/420.csv	11	AGG
nt-11549	how many seasons were finished in 3rd place?	csv/204-csv/79.csv	2	AGG
nt-8267	what is the difference in uci points between nikolas maes and john degenkolb?	csv/204-csv/199.csv	66	ARTH
nt-13691	what is the number of games from produced from 1963 to 1973?	csv/204-csv/121.csv	2	COMP
nt-1300	mark ferrandino, frank ferri, joe fitzpatrick and ed flanagan were each what profession?	csv/204-csv/866.csv	Politician	LOOKUP
nt-10792	what is the only team to have 2005 in qld cup premierships?	csv/204-csv/661.csv	North Queensland Young Guns	LOOKUP
nt-13981	other than sadie what models start with an s?	csv/204-csv/309.csv	SUSIE	COMP
nt-11557	which publisher had the most projects?	csv/204-csv/398.csv	Electronic Arts	AGG
nt-11258	name a member number with a latitude above 60 s.	csv/204-csv/206.csv	1	COMP
nt-3173	how many countries have at least 2 bronze medals?	csv/204-csv/320.csv	3	COMP
nt-11923	how many consecutive records has stacy dragila held	csv/204-csv/678.csv	5	AGG
nt-696	how many consecutive players weigh less than 200 lbs?	csv/204-csv/490.csv	21	AGG
nt-131	what week had the most attendance?	csv/203-csv/691.csv	15	SUPER
nt-6474	how many deaths were in year 2012 due to plan accidents?	csv/200-csv/10.csv	794	LOOKUP
nt-6000	in puerto villarroel, which language is spoken more, quechua or spanish?	csv/204-csv/359.csv	Quechua	COMP
nt-8160	how many networks do not air sports?	csv/204-csv/779.csv	2	AGG
nt-8635	which athlete had a race time above 1:00?	csv/204-csv/169.csv	Lyubomir Popov	AGG
nt-6945	who was the next minister of transport after c.d. howe?	csv/203-csv/317.csv	Arthur Cardin	Next
nt-10635	what team had the best gd?	csv/200-csv/4.csv	Sweden	SUPER
nt-11287	which nation placed above russia?	csv/203-csv/160.csv	Botswana	ARTH
nt-3715	how many film roles did mandy patinkin play in 1991?	csv/202-csv/15.csv	3	AGG
nt-9459	what was the total number of singles that the band released?	csv/203-csv/723.csv	8	AGG
nt-1261	how do you say 'do you speak afrikaans?' in afrikaans?	csv/200-csv/7.csv	Praat jy Afrikaans?	LOOKUP
nt-9673	what country has 4 consecutive drivers on the roster?	csv/204-csv/378.csv	France	other
nt-2957	priests	csv/204-csv/284.csv	54,382	LOOKUP
nt-704	how many wrestlers had a time of 6:47?	csv/203-csv/277.csv	3	AGG
nt-7092	in what year did the eighth place team have no wins?	csv/204-csv/110.csv	1971	LOOKUP
nt-7595	what was the average attendance in 2008?	csv/204-csv/237.csv	10,031	AGG
nt-1439	at which date was the highest attendance recorded?	csv/204-csv/615.csv	Jan. 26	SUPER
nt-12802	what country makes the most tourist income?	csv/203-csv/54.csv	Dominican Republic	SUPER
